Id,cross_id,tgraph_id
029361,"[r41652,r41711]|[r41650,r41651]",29361
028263,"[r40585,r41650,r42579]|[r40584,r41375,r41705]",28263
029362,"[r41651,r42577]|[r41652,r41653,r41707]",29362
029393,"[r41709,r41710]|[r41708,r41711]",29393
029882,"[r42269,r42578]|[r42577,r42579]",29882
029120,"[r41375,r41376,r41379]|[r41377,r41378,r46808]",29120
029391,"[r41704,r41705]|[r42270,r42578]",29391
027960,[r40584]|[r40325],27960
027963,[r40326]|[r40585],27963
027803,"[r40590,r41653]|[r40205,r40591]",27803
029392,"[r41707,r41708,r48913]|[r41706,r41709]",29392
028240,"[r40562,r41402,r41405]|[r40561,r41403,r41710]",28240
028271,"[r40593,r42270,r46898]|[r40592,r42269,r46899]",28271
032970,[r46808]|[r46573],32970
028081,[r41377]|[r40435],28081
027925,"[r40292,r40583,r41378]|[r40291,r40582,r41379]",27925
028080,[r40434]|[r41376],28080
027886,"[r40262,r45258]|[r41704,r45259]",27886
027961,[r40325]|[r46900],27961
027962,[r46901]|[r40326],27962
028270,[r40591]|[r40593],28270
028269,[r40592]|[r40590],28269
027804,"[r40205,r40597]|[r41339]",27804
034325,[r48914]|[r48913],34325
029145,"[r41403,r41706]|[r41402,r41404]",29145
029144,"[r41400,r42576,r43524]|[r41399,r41401,r41405]",29144
028242,[r45718]|[r40562],28242
028241,[r40561]|[r45717],28241
028317,"[r40644,r46882,r46899]|[r40645,r46881,r46898]",28317
032947,"[r46573]|[r46552,r46574]",32947
028079,"[r40435,r45356,r46797]|[r40434,r45357,r46796]",28079
028262,[r45255]|[r40583],28262
028261,[r40582]|[r45254],28261
027926,"[r41313,r46799]|[r40292,r41312]",27926
027885,[r40291]|[r40262],27885
032052,[r45257]|[r45258],32052
032051,[r45259]|[r45256],32051
027944,[r46900]|[r40310],27944
027943,[r40309]|[r46901],27943
029080,"[r41336,r41339,r42554]|[r41335,r41664]",29080
028275,[r40598]|[r40597],28275
029761,"[r42129,r42134]|[r42128,r48914]",29761
028244,"[r41401,r41404]|[r40564,r42575]",28244
028243,"[r40563,r42575]|[r42574,r42576]",28243
030800,[r46913]|[r43524],30800
027958,[r41399]|[r40323],27958
027959,[r40324]|[r41400],27959
032053,[r45263]|[r45718],32053
032054,[r45717]|[r45264],32054
033149,[r46881]|[r46887],33149
033150,[r46888]|[r46882],33150
028279,[r40600]|[r40644],28279
028280,[r40645]|[r40601],28280
032918,[r46552]|[r46529],32918
032951,"[r46555,r46574]|[r46712]",32951
032901,[r46796]|[r46517],32901
032904,[r46518]|[r46797],32904
032099,[r45357]|[r45355],32099
032098,[r45354]|[r45356],32098
027967,"[r40330,r45254]|[r40329,r40839,r45255]",27967
032964,[r46565]|[r46799],32964
028526,[r40834]|[r41313],28526
028523,[r41312]|[r40833],28523
028537,"[r40846,r45256,r45260]|[r40847,r45257,r45261]",28537
027942,"[r40310,r45435,r46408]|[r40309,r45434,r46409]",27942
030100,[r42555]|[r42554],30100
029081,"[r41335,r41367]|[r41336,r42557,r43845]",29081
029370,"[r41664]|[r41663,r41669]",29370
028276,[r40603]|[r40598],28276
029083,"[r41337,r42852]|[r41338,r42134,r42555]",29083
029760,[r42127]|[r42129],29760
029759,[r42128]|[r42126],29759
027964,"[r40420,r40564]|[r40327]",27964
027798,"[r40200,r40298,r42574]|[r40198,r40199,r42573]",27798
028067,"[r40421]|[r40420,r40563]",28067
033165,[r46914]|[r46913],33165
027955,"[r40322,r40323,r40824]|[r40321,r40324,r40823]",27955
027954,[r40320]|[r45263],27954
027953,[r45264]|[r40319],27953
033151,"[r46883,r46886,r46887]|[r46884,r46885,r46888]",33151
028278,"[r40601,r40602,r40604]|[r40600,r40603,r40605]",28278
032917,"[r46528,r46529,r46714]|[r46527,r46555,r46713]",32917
025683,[r46712]|[r36443],25683
032902,[r46517]|[r46606],32902
032903,[r46607]|[r46518],32903
028077,"[r40432,r45355,r46781]|[r40433,r45354,r46780]",28077
028528,[r40839]|[r40837],28528
027968,"[r40329,r40332,r40589,r46879]|[r40330,r40331,r40588,r46880]",27968
032963,"[r46566,r46567]|[r46565]",32963
028525,[r40836]|[r40834],28525
028524,[r40833]|[r40835],28524
028267,[r40588]|[r45260],28267
028268,[r45261]|[r40589],28268
028538,[r40847]|[r40849],28538
028536,[r40848]|[r40846],28536
032778,[r46409]|[r77464],32778
032777,[r77463]|[r46408],32777
032135,[r45434]|[r45436],32135
032136,[r45437]|[r45435],32136
030101,[r42557]|[r42556],30101
031066,"[r43844,r43845]|[r43843,r43846]",31066
029112,"[r41678,r43853]|[r41367,r41679,r42449]",29112
029371,"[r41665,r41668,r41669]|[r41666,r41667]",29371
027887,"[r41663,r41666,r41679]|[r40263,r41665,r41678]",27887
030313,"[r42853,r42856]|[r42852,r42855]",30313
029082,"[r41338,r42556,r45465]|[r41337,r45468]",29082
028293,[r40619]|[r42127],28293
028292,[r42126]|[r40618],28292
027965,"[r40327,r40423]|[r40328,r40422]",27965
030111,"[r42573,r42922]|[r42572,r43526]",30111
027933,"[r42274,r42572]|[r40298,r43525]",27933
027799,"[r40198,r41689]|[r40293,r41690]",27799
027800,"[r40199,r40202,r40838]|[r40200,r40201]",27800
028068,"[r40422,r40424]|[r40421,r40423]",28068
033164,[r46912]|[r46914],33164
028511,"[r40823,r45450]|[r40824,r45449,r48915]",28511
027956,[r40321]|[r45268],27956
027957,[r45267]|[r40322],27957
027952,[r40318]|[r40320],27952
027951,[r40319]|[r40317],27951
029036,[r41291]|[r46883],29036
029035,[r46884]|[r41290],29035
032138,[r45439]|[r46886],32138
032137,[r46885]|[r45438],32137
028277,[r40599]|[r40602],28277
028282,[r40605]|[r41668],28282
028281,[r41667]|[r40604],28281
032916,[r46526]|[r46528],32916
032915,[r46527]|[r46525],32915
025684,[r46713]|[r36444],25684
025685,[r36445]|[r46714],25685
022945,"[r32397,r36443]|[r32398,r32402]",22945
032907,[r46606]|[r46520],32907
032906,[r46519]|[r46607],32906
032886,[r46780]|[r46506],32886
032885,[r46505]|[r46781],32885
028076,[r48905]|[r40432],28076
028078,[r40433]|[r48906],28078
028529,[r40837]|[],28529
033147,[r46877]|[r46879],33147
033148,[r46880]|[r46878],33148
027970,[r40334]|[r40332],27970
027969,[r40331]|[r40333],27969
032966,"[r46568,r49693]|[r46567,r46569]",32966
032965,"[r46611,r48423]|[r46566,r46610,r48424]",32965
028527,"[r40835,r40843,r46783]|[r40836,r40842,r46782]",28527
028540,[r40849]|[r41291],28540
028539,[r41290]|[r40848],28539
049807,[r77464]|[r71536],49807
049806,[r71535]|[r77463],49806
030096,[r45436]|[r42550],30096
030099,[r42551]|[r45437],30099
031067,[r43843]|[r45441],31067
031068,[r45442]|[r43844],31068
028586,[r43846]|[r40883],28586
030013,[r42449]|[],30013
031074,[r43854]|[r43853],31074
